pet_id,Type
532,Cat
533,Dog
534,Dog
535,Dog
536,Dog
537,Dog
538,Cat
539,Cat
540,Dog
541,Dog
542,Dog
543,Dog
544,Dog
545,Dog
546,Dog
547,Dog
548,Dog
549,Dog
550,Dog
551,Cat
552,Cat
553,Dog
554,Cat
555,Dog
556,Dog
557,Dog
558,Dog
559,Cat
560,Dog
561,Cat
562,Cat
563,Cat
564,Dog
565,Dog
566,Dog
567,Cat
568,Cat
569,Dog
570,Cat
571,Cat
572,Cat
573,Cat
574,Dog
575,Dog
576,Cat
577,Cat
578,Cat
579,Dog
580,Dog
581,Dog
582,Cat
583,Dog
584,Cat
585,Dog
586,Cat
587,Dog
588,Dog
589,Dog
590,Cat
591,Dog
592,Dog
593,Cat
594,Dog
595,Dog
596,Dog
597,Dog
598,Cat
599,Cat
